DateTime,State,Fuel Type,Supply
31/08/2024 00:00,NSW,Battery,2114.023
31/08/2024 00:00,NSW,Biomass,4223.093
31/08/2024 00:00,NSW,Black coal,666045.131
31/08/2024 00:00,NSW,Gas,5893.868
31/08/2024 00:00,NSW,Hydro,42924.398
31/08/2024 00:00,NSW,Liquid Fuel,0
31/08/2024 00:00,NSW,Solar,136286.021
31/08/2024 00:00,NSW,Wind,211243.965
31/08/2024 00:00,QLD,Battery,2194.786
31/08/2024 00:00,QLD,Biomass,7855.318
31/08/2024 00:00,QLD,Black coal,728198.331
31/08/2024 00:00,QLD,Gas,61060.308
31/08/2024 00:00,QLD,Hydro,28993.808
31/08/2024 00:00,QLD,Liquid Fuel,65.917
31/08/2024 00:00,QLD,Solar,98997.126
31/08/2024 00:00,QLD,Wind,73043.245
31/08/2024 00:00,SA,Battery,2551.618
31/08/2024 00:00,SA,Gas,27895.471
31/08/2024 00:00,SA,Liquid Fuel,253.389
31/08/2024 00:00,SA,Solar,12819.857
31/08/2024 00:00,SA,Wind,179949.672
31/08/2024 00:00,TAS,Gas,0
31/08/2024 00:00,TAS,Hydro,136211.86
31/08/2024 00:00,TAS,Wind,54374.165
31/08/2024 00:00,VIC,Battery,4427.69
31/08/2024 00:00,VIC,Brown coal,559938.712
31/08/2024 00:00,VIC,Gas,1350.74
31/08/2024 00:00,VIC,Hydro,16803.032
31/08/2024 00:00,VIC,Solar,24234.695
31/08/2024 00:00,VIC,Wind,352032.067
07/09/2024 00:00,NSW,Battery,2302.167
07/09/2024 00:00,NSW,Biomass,4414.001
07/09/2024 00:00,NSW,Black coal,730041.365
07/09/2024 00:00,NSW,Gas,21598.256
07/09/2024 00:00,NSW,Hydro,48971.767
07/09/2024 00:00,NSW,Liquid Fuel,1.683
07/09/2024 00:00,NSW,Solar,136493.226
07/09/2024 00:00,NSW,Wind,122937.556
07/09/2024 00:00,QLD,Battery,2133.208
07/09/2024 00:00,QLD,Biomass,8727.679
07/09/2024 00:00,QLD,Black coal,746286.931
07/09/2024 00:00,QLD,Gas,60156.81
07/09/2024 00:00,QLD,Hydro,25383.544
07/09/2024 00:00,QLD,Liquid Fuel,9.777
07/09/2024 00:00,QLD,Solar,115008.977
07/09/2024 00:00,QLD,Wind,59692.548
07/09/2024 00:00,SA,Battery,3491.522
07/09/2024 00:00,SA,Gas,36947.411
07/09/2024 00:00,SA,Liquid Fuel,879.595
07/09/2024 00:00,SA,Solar,18254.029
07/09/2024 00:00,SA,Wind,128840.518
07/09/2024 00:00,TAS,Gas,0
07/09/2024 00:00,TAS,Hydro,179506.433
07/09/2024 00:00,TAS,Wind,50251.018
07/09/2024 00:00,VIC,Battery,5274.891
07/09/2024 00:00,VIC,Brown coal,611683.647
07/09/2024 00:00,VIC,Gas,2870.549
07/09/2024 00:00,VIC,Hydro,30707.931
07/09/2024 00:00,VIC,Solar,30399.932
07/09/2024 00:00,VIC,Wind,266549.465
14/09/2024 00:00,NSW,Battery,1730.077
14/09/2024 00:00,NSW,Biomass,4382.76
14/09/2024 00:00,NSW,Black coal,631726.209
14/09/2024 00:00,NSW,Gas,24910.728
14/09/2024 00:00,NSW,Hydro,48862.348
14/09/2024 00:00,NSW,Liquid Fuel,0
14/09/2024 00:00,NSW,Solar,110160.835
14/09/2024 00:00,NSW,Wind,189093.402
14/09/2024 00:00,QLD,Battery,4508.331
14/09/2024 00:00,QLD,Biomass,8701.579
14/09/2024 00:00,QLD,Black coal,756356.427
14/09/2024 00:00,QLD,Gas,72390.508
14/09/2024 00:00,QLD,Hydro,27377.903
14/09/2024 00:00,QLD,Liquid Fuel,138.916
14/09/2024 00:00,QLD,Solar,95628.415
14/09/2024 00:00,QLD,Wind,52848.499
14/09/2024 00:00,SA,Battery,3229.555
14/09/2024 00:00,SA,Gas,34279.79
14/09/2024 00:00,SA,Liquid Fuel,805.651
14/09/2024 00:00,SA,Solar,19924.659
14/09/2024 00:00,SA,Wind,161353.998
14/09/2024 00:00,TAS,Gas,36.926
14/09/2024 00:00,TAS,Hydro,161137.826
14/09/2024 00:00,TAS,Wind,72257.069
14/09/2024 00:00,VIC,Battery,4608.816
14/09/2024 00:00,VIC,Brown coal,572015.479
14/09/2024 00:00,VIC,Gas,2168.321
14/09/2024 00:00,VIC,Hydro,31141.768
14/09/2024 00:00,VIC,Solar,23848.184
14/09/2024 00:00,VIC,Wind,321531.99
21/09/2024 00:00,NSW,Battery,691.629
21/09/2024 00:00,NSW,Biomass,4525.669
21/09/2024 00:00,NSW,Black coal,746473.938
21/09/2024 00:00,NSW,Gas,17635.192
21/09/2024 00:00,NSW,Hydro,46591.915
21/09/2024 00:00,NSW,Liquid Fuel,0
21/09/2024 00:00,NSW,Solar,53829.46
21/09/2024 00:00,NSW,Wind,173193.92
21/09/2024 00:00,QLD,Battery,2388.296
21/09/2024 00:00,QLD,Biomass,8543.285
21/09/2024 00:00,QLD,Black coal,765658.099
21/09/2024 00:00,QLD,Gas,75502.689
21/09/2024 00:00,QLD,Hydro,30732.769
21/09/2024 00:00,QLD,Liquid Fuel,0
21/09/2024 00:00,QLD,Solar,119292.282
21/09/2024 00:00,QLD,Wind,50199.343
21/09/2024 00:00,SA,Battery,3490.853
21/09/2024 00:00,SA,Gas,44626.963
21/09/2024 00:00,SA,Liquid Fuel,2112.248
21/09/2024 00:00,SA,Solar,17970.319
21/09/2024 00:00,SA,Wind,136685.594
21/09/2024 00:00,TAS,Gas,1320.665
21/09/2024 00:00,TAS,Hydro,175985.297
21/09/2024 00:00,TAS,Wind,43141.454
