C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2/6/2024,4:05:01,0000000421635450,,0000000421635444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:05,1,NSW1,0,62.70486,0,62.70486,0,0,6553.03,-6,6541.07,39,-50.97,0,,,44,,,,,,,,158,,,,,,,,90,,,,,,,,76,,,,,,,,101.12,,,,,,,,142.12,,,,,,1.53133,10972.63262,109,6611.06689,6594.07,,51,,,,97.59,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.39,0.39,0,11.5,11.5,0,0.39,0.39,0,0.59,0.59,0,0.39,0.39,0,1.2,1.2,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:05,1,QLD1,0,59.85,0,59.85,0,0,5569.33,6,5883.87,48,266.54,0,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,68,,,,,,,,175,,,,,,,,161,,,,,,18.59845,9188.33861,124,5596.30371,5619.34,,0,,,,34,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.39,0.39,0,11.5,11.5,0,0.39,0.39,0,0.59,0.59,0,0.39,0.39,0,1.2,1.2,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:05,1,SA1,0,231.91587,0,231.91587,0,0,1320.25,-2,644.56,2,-677.7,0,,,124.05,,,,,,,,117,,,,,,,,136.45,,,,,,,,68,,,,,,,,115,,,,,,,,164,,,,,,-7.01273,2260.55724,376,1378.13428,1345.65,,28,,,,2,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.39,0.39,0,11.5,11.5,0,0.39,0.39,0,0.59,0.59,0,0.39,0.39,0,1.2,1.2,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:05,1,TAS1,0,202.75124,0,202.75124,0,0,1056.36,0,720.47,0,-335.89,0,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,106,,,,,,,,156,,,,,,,,29,,,,,,-10.27904,2083.93825,0,1066.63965,1056.36,,50,,,,50,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.39,0.39,0,6.36,6.36,0,0.39,0.39,0,0.59,0.59,0,0.39,0.39,0,5.26,5.26,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:05,1,VIC1,0,192.3347,0,192.3347,0,0,4271.47,0,5187.07,36,879.6,0,,,94,,,,,,,,135.62,,,,,,,,94,,,,,,,,198.29,,,,,,,,126.74,,,,,,,,177.74,,,,,,8.01616,8637.38431,414,4330.89014,4361.62,,81,,,,36.41,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.39,0.39,0,11.5,11.5,0,0.39,0.39,0,0.59,0.59,0,0.39,0.39,0,1.2,1.2,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:10,1,NSW1,0,65.2401,0,65.2401,0,0,6661.77,-3,6525.97,39,-174.81,0,,,45,,,,,,,,139.82,,,,,,,,91,,,,,,,,106,,,,,,,,136.1,,,,,,,,187.1,,,,,,1.21647,10964.02256,109,6682.75879,6705.98,,43,,,,85,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.79,0.79,0,0.39,0.39,0,11.68,11.68,0,0.39,0.39,0,0.95,0.95,0,0.39,0.39,0,3.61,3.61,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:10,1,QLD1,0,61.46658,0,61.46658,0,0,5511.17,7,5886.69,12,363.51,0,,,0,,,,,,,,28,,,,,,,,28,,,,,,,,65,,,,,,,,147,,,,,,,,189,,,,,,9.99821,9187.74481,124,5545.59863,5527.12,,0,,,,36,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.79,0.79,0,0.39,0.39,0,11.68,11.68,0,0.39,0.39,0,0.95,0.95,0,0.39,0.39,0,3.61,3.61,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:10,1,SA1,0,240.01,0,240.01,0,0,1365.12,4,675.54,0,-689.58,0,,,122.53,,,,,,,,134,,,,,,,,116.24,,,,,,,,69,,,,,,,,116,,,,,,,,170,,,,,,0,2266.23217,376,1392.41919,1389.36,,72,,,,26,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.79,0.79,0,0.39,0.39,0,11.68,11.68,0,0.39,0.39,0,0.95,0.95,0,0.39,0.39,0,3.61,3.61,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:10,1,TAS1,0,202.2018,0,202.2018,0,0,1057.45,1,705.95,0,-351.5,0,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,106,,,,,,,,156,,,,,,,,29,,,,,,-7.09972,2068.47596,0,1063.54907,1057.45,,50,,,,50,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.79,0.79,0,0.39,0.39,0,7.36,7.36,0,0.39,0.39,0,0.95,0.95,0,0.39,0.39,0,5.26,5.26,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:10,1,VIC1,0,190.85206,0,190.85206,0,0,4296.53,1,5239.1,0,942.57,0,,,95,,,,,,,,109,,,,,,,,85,,,,,,,,167.32,,,,,,,,115.51,,,,,,,,95.51,,,,,,-0.18445,8649.96894,414,4373.76855,4353.34,,45,,,,23,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.79,0.79,0,0.39,0.39,0,11.68,11.68,0,0.39,0.39,0,0.95,0.95,0,0.39,0.39,0,3.61,3.61,0,,,,,,,,,,
