C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2024/06/03,04:05:01,0000000421739920,,0000000421739914
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2024/06/02 04:05:00",1,NSW1,0,67.54807,0,67.54807,0,0,6648.98,-5,6497.99,5,-155.99,0,,,92,,,,,,,,217,,,,,,,,134.84,,,,,,,,100,,,,,,,,105,,,,,,,,84,,,,,,0.12046,11710.13804,109,6695.14063,6662.73,,65,,,,0,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,0.5,0.5,0,1.84,1.84,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/02 04:05:00",1,QLD1,0,62.72996,0,62.72996,0,0,5449.94,2,5894.46,13,431.52,0,,,40,,,,,,,,53.67,,,,,,,,40,,,,,,,,62,,,,,,,,141,,,,,,,,141,,,,,,14.6947,9376.2947,124,5449.53174,5468.79,,0,,,,0,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,0.5,0.5,0,1.84,1.84,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/02 04:05:00",1,SA1,0,82.20542,0,82.20542,0,0,1306.08,-5,784.65,94,-615.42,0,,,73.55,,,,,,,,91,,,,,,,,97,,,,,,,,90,,,,,,,,110,,,,,,,,102,,,,,,-3.55273,2855.65267,129,1410.64209,1418.64,,11,,,,40,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,0.5,0.5,0,1.84,1.84,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/02 04:05:00",1,TAS1,0,101.25,0,101.25,0,0,1171.06,0,733.06,0,-438,0,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,27.91,,,,,,,,121.03,,,,,,,,146.69,,,,,,1.31819,1926,0,1169.73743,1171.06,,50,,,,50,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.38,0.38,0,0.38,0.38,0,7.39,7.39,0,0.5,0.5,0,1.84,1.84,0,0,0,0,4.29,4.29,0
D,DREGION,,2,"2024/06/02 04:05:00",1,VIC1,0,68.52283,0,68.52283,0,0,4278.21,-7,5259.01,118,862.8,0,,,65,,,,,,,,55,,,,,,,,55,,,,,,,,153,,,,,,,,139,,,,,,,,142.34,,,,,,-2.48477,8895.00865,394,4499.27881,4447.96,,129.62,,,,156,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,0.5,0.5,0,1.84,1.84,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/02 04:10:00",1,NSW1,0,76.71941,0,76.71941,0,0,6704.77,-4,6485.84,0,-218.93,0,,,91,,,,,,,,133.45,,,,,,,,117,,,,,,,,127.83,,,,,,,,113,,,,,,,,104,,,,,,-11.943,11694.74494,109,6737.73389,6716.24,,71,,,,40.22,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.26,0.26,0,0.3,0.3,0,3.38,3.38,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/02 04:10:00",1,QLD1,0,70.36894,0,70.36894,0,0,5452.19,9,5939.84,0,487.65,0,,,68,,,,,,,,68,,,,,,,,68,,,,,,,,62,,,,,,,,138,,,,,,,,141,,,,,,4.22554,9417.59107,124,5459.65918,5459.61,,0,,,,14.78,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.26,0.26,0,0.3,0.3,0,3.38,3.38,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/02 04:10:00",1,SA1,0,94.04386,0,94.04386,0,0,1362.2,0,777.19,52,-637.01,0,,,74.35,,,,,,,,128,,,,,,,,114.61,,,,,,,,93,,,,,,,,111,,,,,,,,105.37,,,,,,-11.04327,2850.18826,133,1475.59717,1434.19,,13,,,,30,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.26,0.26,0,0.3,0.3,0,3.38,3.38,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/02 04:10:00",1,TAS1,0,100.3,0,100.3,0,0,1158.31,1,720.31,0,-438,0,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,21.27,,,,,,,,121.27,,,,,,,,146.83,,,,,,1.5322,1925.8,0,1155.77759,1158.31,,50,,,,50,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.38,0.38,0,0.38,0.38,0,6.39,6.39,0,0.39,0.39,0,0.45,0.45,0,0,0,0,3.29,3.29,0
D,DREGION,,2,"2024/06/02 04:10:00",1,VIC1,0,78.01252,0,78.01252,0,0,4287.39,-4,5244.45,57,900.06,0,,,34,,,,,,,,84,,,,,,,,24,,,,,,,,157,,,,,,,,134.94,,,,,,,,121,,,,,,-5.14278,8890.44816,402,4416.82031,4399.28,,121.62,,,,85,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.26,0.26,0,0.3,0.3,0,3.38,3.38,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,3.61,3.61,0
