C,SETP.WORLD,DVD_DUDETAILSUMMARY,AEMO,PUBLIC,2024/09/08,20:35:17,001725791717962,MONTHLY_ARCHIVE,001725791717962
I,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,DUID,START_DATE,END_DATE,DISPATCHTYPE,CONNECTIONPOINTID,REGIONID,STATIONID,PARTICIPANTID,LASTCHANGED,TRANSMISSIONLOSSFACTOR,STARTTYPE,DISTRIBUTIONLOSSFACTOR,MINIMUM_ENERGY_PRICE,MAXIMUM_ENERGY_PRICE,SCHEDULE_TYPE,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,MAX_RAMP_RATE_UP,MAX_RAMP_RATE_DOWN,IS_AGGREGATED,DISPATCHSUBTYPE,ADG_ID,LOAD_MINIMUM_ENERGY_PRICE,LOAD_MAXIMUM_ENERGY_PRICE,LOAD_MIN_RAMP_RATE_UP,LOAD_MIN_RAMP_RATE_DOWN,LOAD_MAX_RAMP_RATE_UP,LOAD_MAX_RAMP_RATE_DOWN,SECONDARY_TLF
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1,"2024/09/06 00:00:00","2999/12/31 00:00:00",BIDIRECTIONAL,SMVE14,SA1,ADP,SAWCML,"2024/09/04 12:12:54",1.0025,SLOW,1.011,-1013.53,17736.74,SCHEDULED,3,3,4,4,1,,,-1013.53,17736.74,3,3,4,4,1.0025
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1G,"2021/04/20 00:00:00","2021/06/29 00:00:00",GENERATOR,SMVE4D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0038,FAST,1.01,-1013.84,15207.57,SCHEDULED,,,2,2,1,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1G,"2021/06/29 00:00:00","2021/07/01 00:00:00",GENERATOR,SMVE4D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0038,FAST,1.01,-1013.84,15207.57,SCHEDULED,,,2,2,1,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1G,"2021/07/01 00:00:00","2021/11/09 00:00:00",GENERATOR,SMVE4D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0055,FAST,1.01,-1015.56,15334.89,SCHEDULED,,,2,2,1,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1G,"2021/11/09 00:00:00","2022/07/01 00:00:00",GENERATOR,SMVE4D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0055,FAST,1.011,-1016.57,15350.07,SCHEDULED,,,2,2,1,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1G,"2022/07/01 00:00:00","2023/07/01 00:00:00",GENERATOR,SMVE4D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0036,FAST,1.011,-1014.64,15726.92,SCHEDULED,,,2,2,1,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1G,"2023/07/01 00:00:00","2023/08/09 00:00:00",GENERATOR,SMVE4D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0039,FAST,1.011,-1014.95,16848.06,SCHEDULED,,,2,2,1,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1G,"2023/08/09 00:00:00","2024/07/01 00:00:00",GENERATOR,SMVE4D,SA1,ADP,SAWCML,"2024/06/24 11:16:44",1.0039,FAST,1.011,-1014.95,16848.06,SCHEDULED,2,2,2,2,1,,ADP_ADG1,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1G,"2024/07/01 00:00:00","2999/12/31 00:00:00",GENERATOR,SMVE4D,SA1,ADP,SAWCML,"2024/06/24 11:16:44",1.0025,FAST,1.011,-1013.53,17736.74,SCHEDULED,2,2,2,2,1,,ADP_ADG1,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1L,"2021/04/20 00:00:00","2021/06/29 00:00:00",LOAD,SMVE5D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0038,FAST,1.01,-1013.84,15207.57,SCHEDULED,,,2,2,1,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1L,"2021/06/29 00:00:00","2021/07/01 00:00:00",LOAD,SMVE5D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0038,FAST,1.01,-1013.84,15207.57,SCHEDULED,,,2,2,1,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1L,"2021/07/01 00:00:00","2021/11/09 00:00:00",LOAD,SMVE5D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0055,FAST,1.01,-1015.56,15334.89,SCHEDULED,,,2,2,1,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1L,"2021/11/09 00:00:00","2022/07/01 00:00:00",LOAD,SMVE5D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0055,FAST,1.011,-1016.57,15350.07,SCHEDULED,,,2,2,1,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1L,"2022/07/01 00:00:00","2023/07/01 00:00:00",LOAD,SMVE5D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0036,FAST,1.011,-1014.64,15726.92,SCHEDULED,,,2,2,1,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1L,"2023/07/01 00:00:00","2023/08/09 00:00:00",LOAD,SMVE5D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0039,FAST,1.011,-1014.95,16848.06,SCHEDULED,,,2,2,1,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1L,"2023/08/09 00:00:00","2024/07/01 00:00:00",LOAD,SMVE5D,SA1,ADP,SAWCML,"2024/06/24 11:16:44",1.0039,FAST,1.011,-1014.95,16848.06,SCHEDULED,2,2,2,2,1,,ADP_ADG1,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPBA1L,"2024/07/01 00:00:00","2999/12/31 00:00:00",LOAD,SMVE5D,SA1,ADP,SAWCML,"2024/06/24 11:16:44",1.0025,FAST,1.011,-1013.53,17736.74,SCHEDULED,2,2,2,2,1,,ADP_ADG1,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPMH1,"2021/11/09 00:00:00","2022/07/01 00:00:00",GENERATOR,SMVE9D,SA1,ADP,SAWCML,"2024/05/15 11:10:53",1.0055,"NOT DISPATCHED",1.011,-1016.57,15350.07,NON-SCHEDULED,,,0,0,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPMH1,"2022/07/01 00:00:00","2023/07/01 00:00:00",GENERATOR,SMVE9D,SA1,ADP,SAWCML,"2024/05/15 11:10:53",1.0036,"NOT DISPATCHED",1.011,-1014.64,15726.92,NON-SCHEDULED,,,0,0,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPMH1,"2023/07/01 00:00:00","2024/07/01 00:00:00",GENERATOR,SMVE9D,SA1,ADP,SAWCML,"2024/06/24 11:16:44",1.0039,"NOT DISPATCHED",1.011,-1014.95,16848.06,NON-SCHEDULED,,,0,0,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPMH1,"2024/07/01 00:00:00","2999/12/31 00:00:00",GENERATOR,SMVE9D,SA1,ADP,SAWCML,"2024/06/24 11:16:44",1.0025,"NOT DISPATCHED",1.011,-1013.53,17736.74,NON-SCHEDULED,,,0,0,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPPV1,"2021/04/20 00:00:00","2021/07/01 00:00:00",GENERATOR,SMVE6D,SA1,ADP,SAWCML,"2024/05/31 15:19:26",1.0038,SLOW,1.01,-1013.84,15207.57,SEMI-SCHEDULED,,,2,2,0,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPPV1,"2021/07/01 00:00:00","2021/11/09 00:00:00",GENERATOR,SMVE6D,SA1,ADP,SAWCML,"2024/05/22 16:10:53",1.0055,SLOW,1.01,-1015.56,15334.89,SEMI-SCHEDULED,,,2,2,0,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPPV1,"2021/11/09 00:00:00","2022/07/01 00:00:00",GENERATOR,SMVE6D,SA1,ADP,SAWCML,"2024/05/22 16:10:53",1.0055,SLOW,1.011,-1016.57,15350.07,SEMI-SCHEDULED,1,1,4,4,0,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPPV1,"2022/07/01 00:00:00","2023/07/01 00:00:00",GENERATOR,SMVE6D,SA1,ADP,SAWCML,"2024/05/22 16:10:53",1.0036,SLOW,1.011,-1014.64,15726.92,SEMI-SCHEDULED,1,1,4,4,0,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPPV1,"2023/07/01 00:00:00","2024/07/01 00:00:00",GENERATOR,SMVE6D,SA1,ADP,SAWCML,"2024/06/24 11:16:44",1.0039,SLOW,1.011,-1014.95,16848.06,SEMI-SCHEDULED,1,1,4,4,0,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPPV1,"2024/07/01 00:00:00","2999/12/31 00:00:00",GENERATOR,SMVE6D,SA1,ADP,SAWCML,"2024/06/24 11:16:44",1.0025,SLOW,1.011,-1013.53,17736.74,SEMI-SCHEDULED,1,1,4,4,0,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPPV2,"2021/11/09 00:00:00","2022/07/01 00:00:00",GENERATOR,SMVE7D,SA1,ADP,SAWCML,"2024/05/15 11:10:53",1.0055,"NOT DISPATCHED",1.011,-1016.57,15350.07,NON-SCHEDULED,,,0,0,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPPV2,"2022/07/01 00:00:00","2023/07/01 00:00:00",GENERATOR,SMVE7D,SA1,ADP,SAWCML,"2024/05/15 11:10:53",1.0036,"NOT DISPATCHED",1.011,-1014.64,15726.92,NON-SCHEDULED,,,0,0,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPPV2,"2023/07/01 00:00:00","2024/07/01 00:00:00",GENERATOR,SMVE7D,SA1,ADP,SAWCML,"2024/06/24 11:16:44",1.0039,"NOT DISPATCHED",1.011,-1014.95,16848.06,NON-SCHEDULED,,,0,0,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPPV2,"2024/07/01 00:00:00","2999/12/31 00:00:00",GENERATOR,SMVE7D,SA1,ADP,SAWCML,"2024/06/24 11:16:44",1.0025,"NOT DISPATCHED",1.011,-1013.53,17736.74,NON-SCHEDULED,,,0,0,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,7,ADPPV3,"2021/11/09 00:00:00","2022/07/01 00:00:00",GENERATOR,SMVE8D,SA1,ADP,SAWCML,"2024/05/15 11:10:53",1.0055,"NOT DISPATCHED",1.011,-1016.57,15350.07,NON-SCHEDULED,,,0,0,,,,,,,,,,
